feature,frequencyInTop32
hsa-mir-122,8.0
hsa-mir-205,8.0
hsa-mir-574-3p,7.9
hsa-mir-26b,7.9
hsa-mir-200c,7.9
hsa-mir-192,7.8
hsa-mir-196a,7.8
hsa-mir-708,7.7
hsa-mir-1280,7.6
hsa-let-7a,7.4
hsa-mir-203,7.4
hsa-let-7b,7.4
hsa-mir-194,7.3
hsa-mir-23b,7.3
hsa-mir-16,7.2
hsa-mir-375,7.0
hsa-mir-494,7.0
hsa-mir-423-5p,7.0
hsa-mir-130b,6.9
hsa-mir-145,6.9
hsa-mir-202,6.7
hsa-mir-646,6.7
hsa-mir-93*,6.4
hsa-mir-181a,6.3
hsa-mir-92b,6.2
hsa-mir-1268,6.1
hsa-mir-571,6.1
hsa-mir-20a,6.0
hsa-mir-199a-3p,5.4
hsa-mir-922,5.4
hsa-mir-218,5.3
hsa-mir-15b,5.2
