feature,frequencyInTop51
hsa-mir-122,8.0
hsa-mir-205,8.0
hsa-mir-708,8.0
hsa-mir-574-3p,8.0
hsa-mir-192,7.9
hsa-mir-181a,7.9
hsa-mir-26b,7.8
hsa-mir-423-5p,7.7
hsa-mir-130b,7.7
hsa-mir-196a,7.7
hsa-mir-194,7.6
hsa-mir-202,7.5
hsa-mir-1280,7.5
hsa-mir-16,7.5
hsa-mir-574-5p,7.4
hsa-mir-203,7.3
hsa-mir-200c,7.3
hsa-mir-375,7.2
hsa-mir-145,7.2
hsa-let-7a,7.1
hsa-mir-218,7.1
hsa-mir-23b,7.1
hsa-mir-92b,7.0
hsa-mir-493,6.9
hsa-mir-646,6.9
hsa-mir-1,6.9
hsa-mir-494,6.8
hsa-mir-1268,6.7
hsa-mir-320a,6.7
hsa-mir-143,6.7
hsa-mir-15b,6.6
hsa-mir-595,6.3
hsa-mir-557,6.3
hsa-mir-92a-2*,6.2
hsa-mir-199a-3p,6.1
hsa-let-7b,6.1
hsa-mir-1260,6.1
hsa-mir-141,6.1
hsa-mir-93*,6.0
hsa-let-7c,6.0
hsa-mir-454,5.9
hsa-mir-20a,5.8
hsa-mir-10a,5.8
hsa-mir-92a,5.7
hsa-mir-571,5.6
hsa-mir-638,5.6
hsa-mir-150*,5.5
hsa-mir-302b,5.5
hsa-mir-874,5.4
hsa-mir-922,5.4
hsa-mir-198,5.4
