feature,frequencyInTop32
hsa-mir-122,8.0
hsa-mir-23b,8.0
hsa-mir-205,8.0
hsa-mir-708,7.8
hsa-mir-574-3p,7.7
hsa-mir-26b,7.7
hsa-mir-196a,7.7
hsa-mir-423-5p,7.6
hsa-let-7a,7.5
hsa-mir-194,7.3
hsa-mir-202,7.2
hsa-mir-200c,7.2
hsa-mir-646,7.1
hsa-mir-571,7.1
hsa-mir-203,7.1
hsa-mir-181a,7.1
hsa-mir-145,7.1
hsa-mir-375,7.0
hsa-mir-192,7.0
hsa-mir-218,6.9
hsa-mir-574-5p,6.8
hsa-mir-1280,6.7
hsa-mir-16,6.7
hsa-let-7c,6.6
hsa-mir-92b,6.6
hsa-mir-1268,6.3
hsa-mir-130b,6.1
hsa-mir-454,6.0
hsa-mir-20a,5.9
hsa-mir-557,5.9
hsa-mir-199a-3p,5.7
hsa-mir-494,5.6
