feature,frequencyInTop51
hsa-miR-452,8.0
hsa-miR-1231,8.0
hsa-miR-630,8.0
hsa-miR-1290,7.9
hsa-miR-299-5p,7.9
hsa-miR-429,7.9
hsa-miR-145,7.8
hsa-miR-378*,7.8
hsa-miR-223,7.8
hsa-miR-342-3p,7.7
hsa-miR-218,7.7
hsa-miR-483-3p,7.6
hsa-miR-34b,7.6
hsa-miR-375,7.5
hsa-miR-1246,7.4
hsa-miR-1280,7.3
hsa-miR-616*,7.3
hsa-miR-493,7.3
hsa-miR-302b,7.2
hsa-miR-1224-5p,7.2
hsa-miR-574-3p,7.2
hsa-miR-221,7.1
hsa-miR-378,7.0
hsa-miR-425*,6.9
hsa-miR-30c-1*,6.9
hsa-miR-20a,6.8
hsa-miR-338-5p,6.8
hsa-miR-193b,6.6
hsa-miR-382,6.4
hsa-miR-1295,6.3
hsa-miR-1275,6.3
hsa-miR-200a,6.3
hsa-miR-200c,6.3
hsa-miR-618,6.3
hsa-miR-622,6.3
hsa-miR-150*,6.3
hsa-miR-30e,6.2
hsa-miR-139-3p,6.2
hsa-miR-601,6.1
hsa-miR-23b,6.1
hsa-miR-331-3p,6.0
hsa-miR-196a,6.0
hsa-miR-187*,6.0
hsa-miR-1825,5.9
hsa-miR-1304,5.9
hsa-miR-186,5.8
hsa-miR-410,5.7
hsa-miR-148b,5.7
hsa-miR-18b*,5.7
hsa-miR-486-3p,5.6
hsa-miR-494,5.4
