feature,frequencyInTop161
hsa-miR-1290,8.0
hsa-miR-429,8.0
hsa-miR-342-3p,8.0
hsa-miR-452,8.0
hsa-miR-1280,8.0
hsa-miR-34b,8.0
hsa-miR-630,8.0
hsa-miR-1231,8.0
hsa-miR-574-3p,8.0
hsa-miR-299-5p,7.9
hsa-miR-361-3p,7.9
hsa-miR-483-3p,7.9
hsa-miR-99b,7.9
hsa-miR-375,7.9
hsa-miR-145,7.9
hsa-miR-382,7.9
hsa-miR-30c-1*,7.9
hsa-miR-222,7.9
hsa-miR-425*,7.9
hsa-miR-616*,7.9
hsa-miR-601,7.9
hsa-miR-378*,7.8
hsa-miR-223,7.8
hsa-miR-130b,7.8
hsa-miR-193b,7.8
hsa-miR-23b,7.8
hsa-miR-1224-5p,7.8
hsa-miR-187*,7.8
hsa-miR-1,7.7
hsa-miR-20a,7.7
hsa-miR-302b,7.7
hsa-miR-186,7.7
hsa-miR-378,7.7
hsa-miR-139-3p,7.6
hsa-miR-1246,7.6
hsa-miR-221,7.6
hsa-miR-200a,7.6
hsa-miR-18b*,7.6
hsa-miR-218,7.6
hsa-miR-494,7.6
hsa-miR-625,7.6
hsa-miR-338-5p,7.6
hsa-miR-1295,7.5
hsa-miR-379,7.5
hsa-miR-185,7.5
hsa-miR-187,7.5
hsa-miR-595,7.4
hsa-miR-130a*,7.4
hsa-miR-30e,7.4
hsa-miR-638,7.4
hsa-miR-483-5p,7.4
hsa-miR-134,7.4
hsa-miR-148b,7.4
hsa-miR-143,7.4
hsa-miR-196b,7.3
hsa-miR-885-5p,7.3
hsa-miR-127-3p,7.3
hsa-miR-296-5p,7.3
hsa-miR-1304,7.3
hsa-miR-150*,7.3
hsa-miR-760,7.2
hsa-miR-206,7.2
hsa-miR-196a,7.2
hsa-miR-7,7.2
hsa-miR-493,7.2
hsa-miR-138,7.2
hsa-miR-27a,7.2
hsa-miR-371-5p,7.2
hsa-miR-654-3p,7.2
hsa-miR-431,7.2
hsa-miR-1229,7.1
hsa-miR-181a,7.1
hsa-miR-513a-3p,7.1
hsa-miR-101,7.0
hsa-miR-126,7.0
hsa-miR-331-3p,7.0
hsa-let-7e,7.0
hsa-miR-345,7.0
hsa-miR-410,6.9
hsa-miR-125b,6.9
hsa-miR-1275,6.9
hsa-miR-24,6.9
hsa-miR-423-5p,6.9
hsa-miR-142-3p,6.9
hsa-miR-15a,6.8
hsa-miR-618,6.8
hsa-miR-148a,6.8
hsa-miR-191,6.8
hsa-miR-138-2*,6.8
hsa-miR-335,6.8
hsa-miR-376c,6.7
hsa-miR-1260,6.7
hsa-miR-622,6.7
hsa-miR-936,6.7
hsa-miR-30a,6.7
hsa-miR-922,6.7
hsa-miR-150,6.6
hsa-miR-195,6.6
hsa-miR-155,6.6
hsa-miR-376a,6.6
hsa-miR-192,6.6
hsa-miR-486-3p,6.6
hsa-miR-328,6.5
hsa-miR-668,6.5
hsa-miR-557,6.5
hsa-miR-203,6.5
hsa-miR-1825,6.5
hsa-miR-200c,6.5
hsa-miR-548b-5p,6.5
hsa-miR-10a,6.4
hsa-miR-377,6.4
hsa-miR-29c,6.4
hsa-miR-650,6.4
hsa-miR-181a-2*,6.3
hsa-miR-194,6.3
hsa-miR-32,6.3
hsa-miR-122,6.3
hsa-miR-502-5p,6.3
hsa-miR-190b,6.2
hsa-miR-26b,6.2
hsa-miR-431*,6.2
hsa-miR-18b,6.1
hsa-miR-1182,6.1
hsa-miR-574-5p,6.1
hsa-miR-30d,6.1
hsa-miR-31,6.0
hsa-miR-25,6.0
hsa-miR-129-5p,5.9
hsa-miR-139-5p,5.9
hsa-miR-210,5.9
hsa-miR-141,5.9
hsa-miR-1254,5.9
hsa-miR-340*,5.9
hsa-miR-942,5.9
hsa-miR-26a,5.8
hsa-miR-146b-3p,5.8
hsa-miR-128,5.8
hsa-miR-365,5.8
hsa-miR-708,5.7
hsa-let-7b,5.7
hsa-miR-320c,5.7
hsa-miR-18a,5.6
hsa-miR-516b,5.6
hsa-miR-93*,5.5
hsa-miR-564,5.5
hsa-miR-320a,5.5
hsa-miR-484,5.5
hsa-miR-411,5.5
hsa-miR-140-3p,5.4
hsa-miR-454,5.4
hsa-miR-181d,5.4
hsa-miR-197,5.4
hsa-miR-1285,5.4
hsa-miR-106b,5.4
hsa-miR-34a,5.4
hsa-miR-133a,5.4
hsa-miR-23a,5.3
hsa-miR-10b,5.3
hsa-miR-92b,5.3
hsa-miR-181b,5.3
hsa-miR-184,5.3
