feature,frequencyInTop202
hsa-miR-1290,8.0
hsa-miR-299-5p,8.0
hsa-miR-342-3p,8.0
hsa-miR-630,8.0
hsa-miR-452,8.0
hsa-miR-1231,8.0
hsa-miR-222,8.0
hsa-miR-221,7.9
hsa-miR-429,7.9
hsa-miR-1280,7.9
hsa-miR-145,7.9
hsa-miR-494,7.8
hsa-miR-361-3p,7.8
hsa-miR-1246,7.8
hsa-miR-375,7.8
hsa-miR-1295,7.8
hsa-miR-34b,7.8
hsa-miR-138-2*,7.8
hsa-miR-378,7.8
hsa-miR-30c-1*,7.8
hsa-miR-130a*,7.8
hsa-miR-150*,7.8
hsa-miR-187*,7.8
hsa-miR-193b,7.8
hsa-miR-223,7.8
hsa-miR-302b,7.8
hsa-miR-138,7.7
hsa-miR-187,7.7
hsa-miR-1304,7.7
hsa-miR-130b,7.7
hsa-miR-139-3p,7.7
hsa-miR-186,7.7
hsa-miR-24,7.7
hsa-miR-425*,7.6
hsa-miR-181a,7.6
hsa-miR-206,7.6
hsa-miR-30e,7.6
hsa-miR-143,7.6
hsa-miR-200a,7.6
hsa-miR-20a,7.6
hsa-miR-218,7.6
hsa-miR-378*,7.5
hsa-miR-126,7.5
hsa-miR-1224-5p,7.5
hsa-miR-148b,7.5
hsa-miR-27a,7.5
hsa-miR-23b,7.5
hsa-miR-338-5p,7.5
hsa-miR-99b,7.4
hsa-miR-1229,7.4
hsa-miR-638,7.4
hsa-miR-1275,7.3
hsa-miR-654-3p,7.3
hsa-miR-185,7.3
hsa-miR-616*,7.3
hsa-miR-574-3p,7.3
hsa-miR-595,7.2
hsa-miR-1825,7.2
hsa-miR-410,7.2
hsa-miR-601,7.2
hsa-miR-134,7.2
hsa-miR-125b,7.2
hsa-miR-127-3p,7.2
hsa-miR-181a-2*,7.2
hsa-miR-382,7.2
hsa-miR-483-3p,7.2
hsa-miR-331-3p,7.2
hsa-miR-1,7.1
hsa-miR-30a,7.1
hsa-miR-18b*,7.1
hsa-let-7e,7.1
hsa-miR-155,7.1
hsa-miR-196b,7.1
hsa-miR-431,7.1
hsa-miR-371-5p,7.1
hsa-miR-129-5p,7.0
hsa-miR-200c,7.0
hsa-miR-15a,7.0
hsa-miR-150,7.0
hsa-miR-30d,7.0
hsa-miR-192,7.0
hsa-miR-922,7.0
hsa-miR-191,7.0
hsa-miR-379,7.0
hsa-miR-493,7.0
hsa-miR-625,7.0
hsa-miR-328,6.9
hsa-miR-122,6.9
hsa-miR-101,6.9
hsa-miR-936,6.9
hsa-miR-196a,6.9
hsa-miR-203,6.9
hsa-miR-128,6.9
hsa-miR-148a,6.9
hsa-miR-142-3p,6.9
hsa-miR-190b,6.9
hsa-miR-296-5p,6.9
hsa-miR-760,6.9
hsa-miR-376a,6.9
hsa-miR-345,6.9
hsa-miR-93*,6.8
hsa-miR-205,6.8
hsa-miR-194,6.8
hsa-miR-340*,6.8
hsa-miR-1182,6.7
hsa-miR-1254,6.7
hsa-miR-574-5p,6.7
hsa-miR-298,6.7
hsa-miR-885-5p,6.7
hsa-miR-29c,6.7
hsa-miR-431*,6.7
hsa-miR-376c,6.7
hsa-miR-365,6.7
hsa-miR-483-5p,6.7
hsa-miR-139-5p,6.6
hsa-miR-668,6.6
hsa-miR-622,6.6
hsa-miR-650,6.6
hsa-miR-423-5p,6.6
hsa-miR-32,6.6
hsa-miR-618,6.6
hsa-miR-18b,6.5
hsa-miR-197,6.5
hsa-miR-18a,6.5
hsa-miR-181b,6.5
hsa-let-7b,6.5
hsa-miR-100,6.5
hsa-miR-486-3p,6.5
hsa-miR-10a,6.4
hsa-miR-320c,6.4
hsa-miR-26a,6.4
hsa-miR-31,6.4
hsa-miR-502-5p,6.4
hsa-miR-335,6.4
hsa-miR-151-5p,6.4
hsa-miR-181d,6.4
hsa-miR-141,6.4
hsa-miR-409-5p,6.4
hsa-miR-7,6.4
hsa-miR-195,6.3
hsa-miR-326,6.3
hsa-miR-183,6.3
hsa-miR-106b,6.3
hsa-miR-1260,6.3
hsa-miR-146b-5p,6.3
hsa-miR-26b,6.3
hsa-miR-708,6.3
hsa-miR-513a-3p,6.3
hsa-miR-557,6.2
hsa-miR-210,6.2
hsa-miR-140-3p,6.2
hsa-miR-184,6.1
hsa-miR-92b,6.1
hsa-miR-432,6.1
hsa-miR-320a,6.1
hsa-miR-1285,6.1
hsa-miR-874,6.1
hsa-let-7a*,6.1
hsa-miR-744*,6.1
hsa-miR-19a,6.1
hsa-miR-202,6.1
hsa-miR-377,6.1
hsa-miR-10b,6.0
hsa-miR-125b-2*,6.0
hsa-miR-198,6.0
hsa-miR-320d,6.0
hsa-miR-133a,6.0
hsa-miR-21,6.0
hsa-miR-548b-5p,6.0
hsa-miR-23a,5.9
hsa-miR-146b-3p,5.9
hsa-miR-15b*,5.9
hsa-miR-516b,5.9
hsa-miR-16-2*,5.9
hsa-miR-454*,5.9
hsa-miR-34a,5.9
hsa-miR-215,5.9
hsa-miR-411,5.9
hsa-miR-454,5.9
hsa-miR-656,5.9
hsa-miR-15b,5.8
hsa-miR-942,5.8
hsa-miR-25,5.8
hsa-miR-29b,5.8
hsa-miR-122*,5.8
hsa-miR-17,5.8
hsa-miR-564,5.8
hsa-miR-301a,5.8
hsa-miR-425,5.8
hsa-miR-409-3p,5.7
hsa-miR-22,5.7
hsa-miR-497,5.6
hsa-let-7c,5.6
hsa-miR-1288,5.6
hsa-miR-193a-3p,5.6
hsa-miR-200b,5.6
hsa-miR-212,5.6
hsa-miR-939,5.6
hsa-miR-504,5.6
hsa-let-7i,5.5
hsa-miR-589,5.5
hsa-miR-518b,5.5
