feature,frequencyInTop102
hsa-mir-122,8.0
hsa-mir-200c,8.0
hsa-mir-205,8.0
hsa-mir-1280,8.0
hsa-mir-202,8.0
hsa-mir-708,8.0
hsa-mir-203,8.0
hsa-mir-145,8.0
hsa-mir-192,8.0
hsa-mir-92a-2*,8.0
hsa-let-7c,8.0
hsa-mir-26b,8.0
hsa-mir-638,8.0
hsa-mir-130b,7.9
hsa-mir-196a,7.9
hsa-let-7b,7.9
hsa-mir-92b,7.9
hsa-mir-194,7.9
hsa-mir-181a,7.9
hsa-mir-125b-2*,7.8
hsa-mir-150*,7.8
hsa-mir-218,7.8
hsa-mir-423-5p,7.7
hsa-mir-1268,7.7
hsa-mir-320a,7.7
hsa-mir-20a,7.7
hsa-mir-922,7.7
hsa-mir-494,7.6
hsa-mir-574-3p,7.6
hsa-mir-15b,7.6
hsa-mir-16,7.6
hsa-mir-557,7.6
hsa-mir-302b,7.6
hsa-mir-571,7.6
hsa-mir-646,7.6
hsa-let-7a,7.5
hsa-mir-23b,7.5
hsa-mir-375,7.4
hsa-mir-143,7.4
hsa-mir-493,7.3
hsa-mir-1260,7.3
hsa-mir-200b,7.2
hsa-mir-198,7.2
hsa-mir-141,7.2
hsa-mir-574-5p,7.1
hsa-mir-1231,7.0
hsa-mir-92a,7.0
hsa-mir-885-5p,7.0
hsa-mir-432,7.0
hsa-mir-595,7.0
hsa-mir-874,6.9
hsa-mir-10a,6.8
hsa-mir-214,6.8
hsa-mir-19a,6.8
hsa-mir-19b,6.8
hsa-mir-191,6.8
hsa-mir-1,6.7
hsa-mir-484,6.7
hsa-mir-125b,6.6
hsa-mir-371-5p,6.5
hsa-mir-215,6.5
hsa-mir-193b,6.5
hsa-mir-29c,6.5
hsa-mir-625*,6.5
hsa-mir-454,6.5
hsa-let-7e,6.4
hsa-mir-1224-5p,6.4
hsa-mir-1285,6.4
hsa-mir-146a,6.4
hsa-mir-196b,6.4
hsa-mir-93*,6.3
hsa-mir-126,6.3
hsa-mir-185,6.3
hsa-mir-199a-3p,6.2
hsa-mir-345,6.2
hsa-mir-106b,6.2
hsa-mir-30d,6.2
hsa-mir-181d,6.1
hsa-mir-616*,6.0
hsa-mir-320d,6.0
hsa-mir-183,5.9
hsa-mir-24,5.9
hsa-mir-625,5.9
hsa-mir-138,5.9
hsa-mir-148a,5.8
hsa-mir-25,5.8
hsa-mir-134,5.8
hsa-mir-99b,5.7
hsa-mir-378,5.7
hsa-mir-20b,5.7
hsa-mir-181b,5.7
hsa-mir-425*,5.7
hsa-mir-1275,5.6
hsa-mir-339-3p,5.5
hsa-mir-1288,5.4
hsa-mir-566,5.4
hsa-mir-23a,5.4
hsa-let-7d,5.3
hsa-mir-30a,5.3
hsa-mir-27a,5.3
hsa-mir-210,5.3
hsa-mir-107,5.2
