feature,frequencyInTop32
hsa-mir-205,8.0
hsa-mir-122,8.0
hsa-mir-145,8.0
hsa-mir-574-3p,8.0
hsa-mir-200c,8.0
hsa-mir-375,8.0
hsa-mir-320a,8.0
hsa-let-7a,8.0
hsa-mir-574-5p,8.0
hsa-let-7e,8.0
hsa-mir-16,8.0
hsa-mir-106b,8.0
hsa-mir-1280,8.0
hsa-mir-1268,8.0
hsa-mir-571,8.0
hsa-mir-922,8.0
hsa-mir-625*,8.0
hsa-mir-423-5p,8.0
hsa-mir-20a,8.0
hsa-mir-203,8.0
hsa-mir-19b,8.0
hsa-mir-30d,8.0
hsa-mir-744,7.2
hsa-mir-302b,7.2
hsa-mir-23b,7.2
hsa-mir-130b,7.2
hsa-mir-92b,7.2
hsa-mir-378,7.2
hsa-mir-142-3p,7.2
hsa-mir-15b,6.4
hsa-mir-1288,6.4
hsa-mir-125b,5.6
