feature,frequencyInTop81
hsa-mir-122,8.0
hsa-mir-202,8.0
hsa-mir-205,8.0
hsa-mir-200c,8.0
hsa-mir-708,8.0
hsa-mir-130b,8.0
hsa-mir-92a-2*,8.0
hsa-mir-203,7.9
hsa-mir-1280,7.9
hsa-mir-192,7.9
hsa-mir-574-3p,7.9
hsa-mir-196a,7.9
hsa-mir-26b,7.9
hsa-mir-423-5p,7.8
hsa-mir-218,7.8
hsa-mir-194,7.7
hsa-mir-494,7.6
hsa-mir-320a,7.6
hsa-let-7b,7.6
hsa-mir-16,7.6
hsa-mir-145,7.6
hsa-mir-23b,7.6
hsa-let-7a,7.5
hsa-mir-375,7.5
hsa-mir-574-5p,7.5
hsa-mir-646,7.5
hsa-mir-92b,7.4
hsa-mir-1268,7.4
hsa-mir-454,7.4
hsa-mir-198,7.4
hsa-mir-15b,7.2
hsa-mir-181a,7.2
hsa-let-7c,7.1
hsa-mir-150*,7.0
hsa-mir-493,6.9
hsa-mir-20a,6.9
hsa-mir-1260,6.9
hsa-mir-571,6.9
hsa-mir-638,6.9
hsa-mir-595,6.8
hsa-mir-1231,6.7
hsa-mir-125b-2*,6.6
hsa-mir-19a,6.6
hsa-mir-484,6.6
hsa-mir-557,6.6
hsa-mir-625*,6.6
hsa-mir-432,6.5
hsa-mir-885-5p,6.5
hsa-mir-10a,6.4
hsa-mir-92a,6.4
hsa-mir-302b,6.4
hsa-mir-185,6.4
hsa-mir-922,6.3
hsa-mir-199a-3p,6.3
hsa-mir-143,6.3
hsa-mir-214,6.2
hsa-mir-141,6.2
hsa-mir-215,6.1
hsa-mir-93*,6.1
hsa-mir-1,6.1
hsa-mir-29c,6.1
hsa-mir-133b,6.1
hsa-mir-193b,6.1
hsa-mir-196b,6.0
hsa-mir-1224-5p,5.9
hsa-mir-181d,5.9
hsa-mir-200b,5.9
hsa-mir-30d,5.9
hsa-mir-106b,5.9
hsa-mir-191,5.7
hsa-mir-126,5.6
hsa-mir-19b,5.6
hsa-let-7e,5.5
hsa-mir-125b,5.5
hsa-mir-345,5.5
hsa-mir-1285,5.5
hsa-mir-146a,5.5
hsa-mir-874,5.4
hsa-mir-183,5.4
hsa-mir-99b,5.2
hsa-mir-320d,5.2
