feature,frequencyInTop51
hsa-miR-378*,8.0
hsa-miR-452,8.0
hsa-miR-630,8.0
hsa-miR-1231,8.0
hsa-miR-302b,8.0
hsa-miR-429,7.9
hsa-miR-574-3p,7.9
hsa-miR-1290,7.8
hsa-miR-145,7.8
hsa-miR-375,7.8
hsa-miR-342-3p,7.7
hsa-miR-34b,7.7
hsa-miR-30c-1*,7.7
hsa-miR-221,7.5
hsa-miR-299-5p,7.5
hsa-miR-483-3p,7.5
hsa-miR-223,7.3
hsa-miR-218,7.2
hsa-miR-361-3p,7.1
hsa-miR-1246,6.9
hsa-miR-425*,6.7
hsa-miR-20a,6.6
hsa-miR-382,6.6
hsa-miR-1280,6.5
hsa-miR-186,6.5
hsa-miR-616*,6.5
hsa-miR-187*,6.4
hsa-miR-27a,6.4
hsa-miR-1275,6.4
hsa-miR-338-5p,6.4
hsa-miR-378,6.2
hsa-miR-622,6.2
hsa-miR-193b,6.2
hsa-miR-371-5p,6.1
hsa-miR-23b,6.1
hsa-miR-1825,6.1
hsa-miR-150*,6.1
hsa-miR-130a*,6.1
hsa-miR-493,6.1
hsa-miR-410,6.0
hsa-miR-200c,6.0
hsa-miR-1,6.0
hsa-miR-30e,6.0
hsa-miR-601,6.0
hsa-miR-196a,5.9
hsa-miR-650,5.8
hsa-miR-486-3p,5.8
hsa-miR-200a,5.7
hsa-miR-139-3p,5.6
hsa-let-7e,5.6
hsa-miR-222,5.6
