feature,frequencyInTop102
hsa-mir-122,8.0
hsa-mir-202,8.0
hsa-mir-205,8.0
hsa-mir-200c,8.0
hsa-mir-708,8.0
hsa-mir-203,8.0
hsa-mir-192,8.0
hsa-mir-1280,8.0
hsa-let-7c,8.0
hsa-mir-130b,8.0
hsa-mir-145,8.0
hsa-mir-320a,8.0
hsa-mir-484,7.9
hsa-mir-92b,7.9
hsa-mir-92a-2*,7.9
hsa-mir-196a,7.9
hsa-mir-574-3p,7.9
hsa-mir-26b,7.8
hsa-mir-20a,7.8
hsa-mir-218,7.8
hsa-mir-194,7.8
hsa-mir-638,7.8
hsa-mir-1260,7.8
hsa-mir-181a,7.8
hsa-mir-423-5p,7.7
hsa-mir-1268,7.7
hsa-mir-494,7.7
hsa-let-7b,7.7
hsa-mir-23b,7.7
hsa-mir-16,7.6
hsa-mir-646,7.6
hsa-mir-557,7.6
hsa-mir-574-5p,7.6
hsa-let-7a,7.5
hsa-mir-375,7.5
hsa-mir-92a,7.5
hsa-mir-571,7.5
hsa-mir-493,7.4
hsa-mir-125b-2*,7.4
hsa-mir-15b,7.4
hsa-mir-150*,7.3
hsa-mir-1231,7.3
hsa-mir-143,7.3
hsa-mir-141,7.2
hsa-mir-595,7.1
hsa-mir-126,7.1
hsa-mir-10a,7.1
hsa-mir-302b,7.1
hsa-mir-885-5p,7.1
hsa-mir-198,7.1
hsa-mir-625*,7.1
hsa-mir-200b,7.0
hsa-mir-19a,6.9
hsa-mir-1,6.9
hsa-mir-214,6.9
hsa-mir-432,6.8
hsa-mir-922,6.8
hsa-mir-133b,6.7
hsa-mir-191,6.5
hsa-mir-454,6.5
hsa-mir-1224-5p,6.4
hsa-mir-193b,6.4
hsa-mir-345,6.4
hsa-mir-1285,6.4
hsa-mir-148a,6.4
hsa-mir-874,6.3
hsa-mir-29c,6.3
hsa-mir-616*,6.3
hsa-mir-196b,6.3
hsa-mir-183,6.2
hsa-mir-199a-3p,6.2
hsa-mir-378,6.2
hsa-mir-30d,6.2
hsa-mir-19b,6.2
hsa-mir-425*,6.1
hsa-mir-146a,6.1
hsa-mir-371-5p,6.1
hsa-mir-320d,6.0
hsa-mir-93*,6.0
hsa-mir-125b,6.0
hsa-mir-215,6.0
hsa-let-7e,6.0
hsa-mir-138,6.0
hsa-mir-106b,5.9
hsa-mir-185,5.9
hsa-mir-99b,5.8
hsa-mir-625,5.8
hsa-mir-1275,5.8
hsa-mir-200a,5.7
hsa-mir-181d,5.7
hsa-mir-20b,5.7
hsa-mir-24,5.7
hsa-mir-23a,5.7
hsa-mir-339-3p,5.6
hsa-mir-181b,5.6
hsa-let-7d,5.5
hsa-mir-504,5.5
hsa-mir-320c,5.2
hsa-mir-628-3p,5.2
hsa-mir-378*,5.2
hsa-mir-26a,5.2
hsa-mir-27a,5.2
