feature,frequencyInTop81
hsa-mir-122,8.0
hsa-mir-202,8.0
hsa-mir-205,8.0
hsa-mir-200c,8.0
hsa-mir-574-3p,8.0
hsa-mir-192,8.0
hsa-mir-196a,8.0
hsa-mir-708,7.9
hsa-mir-494,7.9
hsa-mir-1280,7.9
hsa-mir-130b,7.9
hsa-mir-423-5p,7.8
hsa-mir-145,7.8
hsa-mir-194,7.8
hsa-mir-92a-2*,7.8
hsa-mir-203,7.7
hsa-let-7b,7.7
hsa-mir-320a,7.7
hsa-mir-218,7.7
hsa-mir-16,7.6
hsa-mir-92b,7.6
hsa-mir-23b,7.6
hsa-mir-26b,7.6
hsa-let-7a,7.5
hsa-mir-181a,7.5
hsa-let-7c,7.5
hsa-mir-1268,7.4
hsa-mir-198,7.4
hsa-mir-1260,7.3
hsa-mir-646,7.3
hsa-mir-454,7.3
hsa-mir-15b,7.2
hsa-mir-638,7.2
hsa-mir-92a,7.1
hsa-mir-150*,7.1
hsa-mir-922,7.1
hsa-mir-375,7.0
hsa-mir-595,7.0
hsa-mir-574-5p,7.0
hsa-mir-1231,7.0
hsa-mir-493,6.8
hsa-mir-625*,6.8
hsa-mir-10a,6.7
hsa-mir-1,6.7
hsa-mir-432,6.6
hsa-mir-20a,6.6
hsa-mir-125b-2*,6.6
hsa-mir-571,6.6
hsa-mir-302b,6.6
hsa-mir-191,6.5
hsa-mir-557,6.5
hsa-mir-19a,6.3
hsa-mir-1224-5p,6.3
hsa-mir-199a-3p,6.3
hsa-mir-143,6.3
hsa-mir-196b,6.2
hsa-mir-93*,6.1
hsa-mir-126,6.1
hsa-mir-214,6.1
hsa-mir-141,6.1
hsa-mir-193b,6.0
hsa-mir-215,5.8
hsa-mir-874,5.8
hsa-mir-484,5.8
hsa-mir-185,5.8
hsa-mir-885-5p,5.8
hsa-mir-30d,5.8
hsa-mir-125b,5.7
hsa-mir-1285,5.6
hsa-mir-616*,5.5
hsa-mir-148a,5.5
hsa-mir-146a,5.4
hsa-mir-200b,5.4
hsa-mir-1275,5.4
hsa-mir-19b,5.4
hsa-mir-181d,5.3
hsa-mir-133b,5.3
hsa-let-7e,5.3
hsa-mir-345,5.3
hsa-mir-138,5.3
hsa-mir-320c,5.2
